ImgID,Detector,Descriptor,DetectorTime(ms),DescriptorTime(ms),VehicleKeypointsCount,VehicleKeypoints/TotalKeypoints(%),MatchedVehicleKeypointsCount,,TotalTime,
1,ORB,FREAK,8.07231,39.3039,102,20.4,41,,47.3762,
2,ORB,FREAK,7.75532,40.1893,106,21.2,36,,47.9447,
3,ORB,FREAK,7.50328,39.9752,113,22.6,44,,47.4784,
4,ORB,FREAK,7.52957,38.3761,109,21.8,47,,45.9057,
5,ORB,FREAK,7.3221,38.5691,124,24.8,44,,45.8912,
6,ORB,FREAK,7.51695,40.1256,129,25.8,51,,47.6426,
7,ORB,FREAK,7.4688,39.8527,127,25.4,52,,47.3215,
8,ORB,FREAK,8.88334,40.817,124,24.8,47,,49.7003,
9,ORB,FREAK,7.64964,39.1595,125,25,54,,46.8092,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,ORB,SIFT,7.78618,43.013,91,18.2,0,,50.7992,
1,ORB,SIFT,7.56054,44.2649,102,20.4,66,,51.8254,
2,ORB,SIFT,8.1678,45.1143,106,21.2,79,,53.2821,
3,ORB,SIFT,7.70026,46.9555,113,22.6,78,,54.6557,
4,ORB,SIFT,7.55998,43.6928,109,21.8,79,,51.2528,
5,ORB,SIFT,8.17358,44.8161,124,24.8,82,,52.9897,
6,ORB,SIFT,7.51838,49.2935,129,25.8,93,,56.8119,
7,ORB,SIFT,7.53051,50.4548,127,25.4,94,,57.9853,
8,ORB,SIFT,7.64875,52.8814,124,24.8,93,,60.5301,
9,ORB,SIFT,8.2006,50.9395,125,25,92,,59.1401,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,AKAZE,BRIEF,83.4487,0.915911,162,11.9911,0,,84.3647,
1,AKAZE,BRIEF,72.0739,1.03037,157,11.8312,137,,73.1043,
2,AKAZE,BRIEF,73.887,0.813767,159,12.1281,133,,74.7008,
3,AKAZE,BRIEF,79.535,0.801309,154,11.399,130,,80.3363,
4,AKAZE,BRIEF,71.3452,0.903117,162,11.9118,130,,72.2483,
5,AKAZE,BRIEF,68.599,0.883827,163,12.101,134,,69.4828,
6,AKAZE,BRIEF,76.7798,0.862487,173,12.6926,146,,77.6422,
7,AKAZE,BRIEF,75.1532,0.876742,175,13.148,150,,76.03,
8,AKAZE,BRIEF,81.8856,0.907391,175,12.8961,147,,82.7929,
9,AKAZE,BRIEF,75.7917,1.16958,175,13.148,150,,76.9613,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,AKAZE,ORB,98.4088,4.68306,162,11.9911,0,,103.092,
1,AKAZE,ORB,77.5645,3.06345,157,11.8312,128,,80.628,
2,AKAZE,ORB,66.7721,3.116,159,12.1281,128,,69.8881,
3,AKAZE,ORB,76.6909,3.81131,154,11.399,126,,80.5022,
4,AKAZE,ORB,75.6423,3.3531,162,11.9118,118,,78.9954,
5,AKAZE,ORB,73.3868,3.06725,163,12.101,129,,76.454,
6,AKAZE,ORB,67.9632,3.06904,173,12.6926,131,,71.0322,
7,AKAZE,ORB,68.5162,2.98609,175,13.148,136,,71.5023,
8,AKAZE,ORB,78.0069,3.49156,175,12.8961,136,,81.4984,
9,AKAZE,ORB,81.0052,3.40807,175,13.148,143,,84.4133,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,AKAZE,FREAK,79.7034,40.922,162,11.9911,0,,120.625,
1,AKAZE,FREAK,83.454,41.514,157,11.8312,123,,124.968,
2,AKAZE,FREAK,79.8946,41.0613,159,12.1281,128,,120.956,
3,AKAZE,FREAK,74.655,43.4729,154,11.399,128,,118.128,
4,AKAZE,FREAK,79.1217,43.4629,162,11.9118,121,,122.585,
5,AKAZE,FREAK,75.9569,42.676,163,12.101,122,,118.633,
6,AKAZE,FREAK,74.0397,42.727,173,12.6926,133,,116.767,
7,AKAZE,FREAK,72.4785,40.1053,175,13.148,144,,112.584,
8,AKAZE,FREAK,75.7557,40.7226,175,12.8961,145,,116.478,
9,AKAZE,FREAK,72.1713,44.2889,175,13.148,135,,116.46,
,,,,,,,,,
